CODE,BARCODE,DESC,LANDFRTCD,NOTINUSE,SELLVAT1,STATCODE,TOTALINSTK,,
0302EL4,038548003016,10R VISE GRIP,3,T,14.8,D,,,
030300,5.09968E+12,SOLUS G9 HALOGEN (40w),3,T,5.76,D,0,,
030301,5.09968E+12,SOLUS G9 HALOGEN (25w),3,T,5.99,D,0,,
030400,5.09968E+12,SOLUS R7 HALOGEN (500W = 400W),3,T,4.99,D,0,,
0304501,5.05518E+12,"18"" DOUBLE STRAP HINGE SET",3,F,34.32,A,0,,
030482,,MOY WHEEL BARROW GALV 85LTR,1,F,65.0301,A,0,,
030490,5.03661E+12,SHIRE POLY WHEEL BARROW GREEN 90ltr,3,F,59.99,A,0,,
0306001,5.05518E+12,"24"" DOUBLE STRAP HINGE SET",3,F,45.39,A,0,,
030760099,,SCHELL MONTUS WC FRAME VALVE,3,F,299,A,0,,
030770099,,WALL MOUNTING SET 150 - 210 MM FOR WC,3,F,18.45,A,0,,
031055,3.47606E+12,EDMA 0310 SLATE CUTTER,3,F,100,A,0,,
032796,5.39143E+12,PREMIUM CHIMNEY GUARD,3,T,25.4,D,,,
035681,5.39143E+12,DE VIELLE CONCERTINA AIRER,3,F,36.65,A,0,,
035738,5.39143E+12,"DEVILLE COMPANION SET 18"" BLACK/PEW 5PCE",3,T,24,D,,,
035872,5.39143E+12,SPARK GUARD DOME  BLACK,3,T,16.5,D,,,
036640,5.39143E+12,DEVILLE WINGED CLOTHES AIRER,3,T,29.99,D,0,,
037012,5.39143E+12,CLASSIC RECT SPARK GUARD BLACK,3,T,15.25,D,0,,
037715,5.39143E+12,PROPLUS JERRY CAN SPOUT,3,F,12.2,A,0,,
040001,5.09968E+12,SOLUS BC CLEAR HALOGEN (25W = 20W),3,T,3.49,D,0,,
040002,5.09968E+12,SOLUS BC CLEAR HALOGEN (40W = 30W),3,T,4.56,D,0,,
040003,5.09968E+12,SOLUS BC CLEAR HALOGEN (60W = 46W),3,T,3.96,D,0,,
040004,5.09968E+12,SOLUS BC CLEAR HALOGEN (75W = 57W),3,T,3.49,D,0,,
040005,5.09968E+12,SOLUS BC CLEAR HALOGEN (100W = 77W),3,F,3.49,A,22,,
040011,5.09968E+12,SOLUS ES CLEAR HALOGEN (40W = 30W),3,T,3.49,D,0,,
040012,5.09968E+12,SOLUS ES CLEAR HALOGEN (60W = 46W),3,T,3.49,D,0,,
040013,5.09968E+12,SOLUS ES CLEAR HALOGEN (75W = 57W),3,T,3.49,D,0,,
040014,5.09968E+12,SOLUS ES CLEAR HALOGEN (100W = 77W),3,T,3.49,D,0,,
040101,5.09968E+12,SOLUS B22 CLEAR CANDLE HALO (25W = 20W),3,T,4.49,D,0,,
040102,5.09968E+12,SOLUS B15 CLEAR CANDLE HALO (25W = 20W),3,T,4.49,D,0,,
040103,5.09968E+12,SOLUS B22 CLEAR CANDLE HALO (40W = 30W),3,T,4.49,D,0,,
040104,5.09968E+12,SOLUS B15 CLEAR CANDLE HALO (40W = 30W),3,T,4.49,D,0,,
040105,5.09968E+12,SOLUS E14 CLEAR CANDLE HALO (40W = 30W),3,T,4.5633,D,0,,
040106,5.09968E+12,SOLUS B22 CLEAR CANDLE HALO (60W = 46W),3,T,4.49,D,0,,
040107,5.09968E+12,SOLUS E14 CLEAR CANDLE HALO (60W = 46W),3,T,4.49,D,0,,
040201,5.09968E+12,SOLUS BC CLEAR ROUND HALO (40W = 30W),3,T,4.49,D,0,,
040202,5.09968E+12,SOLUS B15 CLEAR ROUND HALO (40W = 30W),3,T,4.49,D,0,,
040203,5.09968E+12,SOLUS E27 CLEAR ROUND HALO (40W = 30W),3,T,4.49,D,0,,
040204,5.09968E+12,SOLUS E14 CLEAR ROUND HALO (40W = 30W),3,T,4.49,D,0,,
040301,5.09968E+12,SOLUS E14 R50 REFLECT HALOGEN (40W=30W),3,T,4.99,D,0,,
040302,5.09968E+12,SOLUS E27 R63 REFLECT HALOGEN (40W=30W),3,T,4.99,D,0,,
040304,5.09968E+12,SOLUS E27 R63 REFLECT HALOGEN (60W=46W),3,T,4.99,D,0,,
040305,5.09968E+12,SOLUS E27 R80 REFLECT HALOGEN (60W=46W),3,T,4.99,D,0,,
042962,5.39143E+12,WEED CONTROL FABRIC 1.6m x 12m,3,T,9.14,D,,,
042986,5.39143E+12,KNAPSACK SPRAYER PROPLUS 16LITRE,3,T,50.65,D,0,,
